ID,스벅_빈도
강릉,3
거제,4
경산,6
경주,7
계룡,1
고성(강원),1
고양,32
공주,2
과천,3
광명,8
광양,1
광주,2
광주 광산,11
광주 남구,7
광주 동구,7
광주 북구,10
광주 서구,14
구리,3
구미,9
군산,2
군포,4
김천,2
김포,8
김해,9
나주,1
남양주,7
논산,1
당진,2
대구 달서,18
대구 달성,2
대구 동구,8
대구 북구,7
대구 서구,1
대구 수성,18
대구 중구,9
대전 대덕,4
대전 동구,4
대전 서구,21
대전 유성,11
대전 중구,7
동두천,2
동해,1
목포,5
무안,1
문경,1
부산 강서,2
부산 금정,7
부산 기장,3
부산 남구,6
부산 동구,2
부산 동래,7
부산 부산진,17
부산 북구,2
부산 사상,3
부산 사하,7
부산 서구,3
부산 수영,7
부산 연제,5
부산 중구,6
부산 해운대,27
부천,13
사천,2
서귀포,9
서산,2
서울 강남,76
서울 강동,13
서울 강북,5
서울 강서,14
서울 관악,10
서울 광진,14
서울 구로,10
서울 금천,10
서울 노원,12
서울 도봉,2
서울 동대문,8
서울 동작,8
서울 마포,32
서울 서대문,21
서울 서초,45
서울 성동,9
서울 성북,11
서울 송파,29
서울 양천,14
서울 영등포,35
서울 용산,17
서울 은평,8
서울 종로,38
서울 중구,50
서울 중랑,6
성남,40
세종,7
속초,3
수원,26
순천,4
시흥,5
아산,4
안동,2
안산,9
안성,2
안양,13
양산,7
양주,4
양평,1
여수,5
여주,3
오산,3
용인,24
울산 남구,13
울산 동구,2
울산 북구,4
울산 울주,1
울산 중구,5
원주,6
의왕,1
의정부,10
이천,5
익산,3
인천 계양,2
인천 남동,9
인천 동구,1
인천 미추,4
인천 부평,9
인천 서구,6
인천 연수,10
인천 중구,7
전주,13
정읍,1
제주,8
제천,1
진주,6
창원,19
천안,15
청주,15
춘천,5
충주,4
통영,1
파주,5
평택,5
포천,2
포항,11
하남,9
홍천,3
화성,11
