,시도,군구,이디야_나머지데이터,ID
0,서울,종로,자하문로 7 (체부동),서울 종로
1,서울,종로,세종대로23길 15 (도렴동),서울 종로
2,서울,종로,"율곡로 6 (중학동, 트윈 트리 빌딩)",서울 종로
3,서울,종로,낙원동,서울 종로
4,서울,종로,대학로10길 17 (동숭동),서울 종로
5,서울,종로,통일로 266 (무악동),서울 종로
6,서울,종로,"율곡로 286 (종로6가, 야드인빌딩)",서울 종로
7,서울,종로,종로 354 (숭인동),서울 종로
8,서울,종로,대학로 81-1 (연건동),서울 종로
9,서울,종로,필운대로1길 35 (필운동),서울 종로
10,서울,종로,삼일대로15길 13 (관철동),서울 종로
11,서울,종로,홍지동,서울 종로
12,서울,종로,성균관로 8 (명륜2가),서울 종로
13,서울,종로,숭인동길 6 (숭인동),서울 종로
14,서울,종로,난계로29가길 2 (숭인동),서울 종로
15,서울,종로,삼일대로19길 24 (관철동),서울 종로
16,서울,종로,종로 73 (종로2가),서울 종로
17,서울,종로,종로 126 (종로3가),서울 종로
18,서울,종로,김상옥로 1 (인의동),서울 종로
19,서울,종로,대학로 33 (효제동),서울 종로
20,서울,종로,동호로 406-1 (종로5가),서울 종로
21,서울,종로,수송동,서울 종로
22,서울,종로,종로1가 르메이에르종로타운,서울 종로
23,서울,종로,삼일대로 390-1 (관철동),서울 종로
24,서울,종로,"종로 51 (종로2가, 종로타워)",서울 종로
25,서울,종로,돈화문로 41-1 (묘동),서울 종로
26,서울,종로,종로 316-1 (창신동),서울 종로
27,서울,종로,지봉로 64 (숭인동),서울 종로
28,서울,종로,낙원동,서울 종로
29,서울,종로,혜화로 3-1 (혜화동),서울 종로
30,서울,종로,창경궁로 258-15 (명륜2가),서울 종로
31,서울,중구,을지로 79 (을지로2가),서울 중구
32,서울,중구,세종대로1길 11 (봉래동1가),서울 중구
33,서울,중구,마른내로 165-1 (광희동1가),서울 중구
34,서울,중구,다동길 46 (다동),서울 중구
35,서울,중구,"창경궁로 2 (충무로5가, 남경빌딩)",서울 중구
36,서울,중구,을지로43길 38 (을지로6가),서울 중구
37,서울,중구,청계천로 318 (신당동),서울 중구
38,서울,중구,"만리재로 175 (만리동2가, 서울역센트럴자이),402동 102호",서울 중구
39,서울,중구,퇴계로 103 (충무로1가),서울 중구
40,서울,중구,명동8가길 37 (충무로2가),서울 중구
41,서울,중구,남대문로1길 57-1 (태평로2가),서울 중구
42,서울,중구,서소문로11길 8 (서소문동),서울 중구
43,서울,중구,세종대로21길 67 (태평로1가),서울 중구
44,서울,중구,다산로35길 11 (신당동),서울 중구
45,서울,중구,퇴계로 455 (황학동),서울 중구
46,서울,중구,동호로 186-13 (신당동),서울 중구
47,서울,중구,마른내로 109-1 (오장동),서울 중구
48,서울,중구,수표로 45 (저동2가),서울 중구
49,서울,중구,정동길 2-1 (정동),서울 중구
50,서울,중구,청파로 464 (중림동),서울 중구
51,서울,중구,다산로 181-2 (신당동),서울 중구
52,서울,중구,퇴계로27길 31 (충무로3가),서울 중구
53,서울,중구,퇴계로 188 (필동1가),서울 중구
54,서울,중구,퇴계로 381-1 (신당동),서울 중구
55,서울,중구,퇴계로 218-5 (필동2가),서울 중구
56,서울,중구,"중림로 10 (중림동, 중림동 삼성 사이버 빌리지)",서울 중구
57,서울,중구,세종대로11길 26 (서소문동),서울 중구
58,서울,중구,남대문로 29-2 (남대문로3가),서울 중구
59,서울,중구,"청계천로 400 (황학동, 롯데캐슬베네치아)",서울 중구
60,서울,중구,"퇴계로 72 (회현동1가, 리더스뷰남산)",서울 중구
61,서울,용산,한남대로 72 (한남동),서울 용산
62,서울,용산,이촌로77길 19 (이촌동),서울 용산
63,서울,용산,후암로 93 (동자동),서울 용산
64,서울,용산,"한강대로 205 (한강로1가, 용산파크자이)",서울 용산
65,서울,용산,한강대로 138 (한강로2가),서울 용산
66,서울,용산,한강대로 289 (갈월동),서울 용산
67,서울,용산,청파로47길 82 (청파동2가),서울 용산
68,서울,용산,대사관로 72,서울 용산
69,서울,용산,한강대로21나길 17 (한강로3가),서울 용산
70,서울,용산,한강대로 52-1 (한강로3가),서울 용산
71,서울,용산,효창원로66길 2 (효창동),서울 용산
72,서울,용산,원효로 257 (원효로1가),서울 용산
73,서울,용산,이태원로 281 (한남동),서울 용산
74,서울,성동,장터길 17-1 (금호동3가),서울 성동
75,서울,성동,난계로 35 (금호동1가),서울 성동
76,서울,성동,용답19길 17-1 (용답동),서울 성동
77,서울,성동,상원길 38-1 (성수동1가),서울 성동
78,서울,성동,고산자로 339-2 (마장동),서울 성동
79,서울,성동,마장로 293-1 (마장동),서울 성동
80,서울,성동,무학봉15길 27 (하왕십리동),서울 성동
81,서울,성동,왕십리로 96-1 (성수동1가),서울 성동
82,서울,성동,고산자로 269 (도선동),서울 성동
83,서울,성동,성덕정길 106 (성수동2가),서울 성동
84,서울,성동,성수이로 118 (성수동2가),서울 성동
85,서울,성동,아차산로15길 19 (성수동2가),서울 성동
86,서울,성동,"성수일로6길 47 (성수동2가, 현성빌딩)",서울 성동
87,서울,성동,금호산길 64 (금호동2가),서울 성동
88,서울,성동,무학로 22 (홍익동),서울 성동
89,서울,성동,매봉길 12 (옥수동),서울 성동
90,서울,성동,한림말5길 9 (옥수동),서울 성동
91,서울,성동,왕십리광장로 17 (행당동),서울 성동
92,서울,성동,왕십리로 309 (행당동),서울 성동
93,서울,성동,"독서당로 381 (응봉동, 현대종합상가)",서울 성동
94,서울,성동,천호대로 426 (용답동),서울 성동
95,서울,성동,"무학로 33 (하왕십리동, 텐즈힐)",서울 성동
96,서울,성동,사근동길 4 (행당동),서울 성동
97,서울,성동,고산자로 201 (행당동),서울 성동
98,서울,광진,아차산로30길 8 (자양동),서울 광진
99,서울,광진,"능동로 92 (자양동, 롯데백화점) 지하 2층 201호",서울 광진
100,서울,광진,"아차산로 272 (자양동, 더샵스타시티)",서울 광진
101,서울,광진,"아차산로 229 (화양동, 한림타워)",서울 광진
102,서울,광진,능동로 131-1 (화양동),서울 광진
103,서울,광진,"광나루로 416 (화양동, 건회빌딩)",서울 광진
104,서울,광진,아차산로 624 (광장동),서울 광진
105,서울,광진,자양로 136 (구의동),서울 광진
106,서울,광진,아차산로 481 (구의동),서울 광진
107,서울,광진,광나루로 508 (구의동),서울 광진
108,서울,광진,구의로 4 (구의동),서울 광진
109,서울,광진,"능동로 290 (능동, 삼일빌딩)",서울 광진
110,서울,광진,구의동,서울 광진
111,서울,광진,능동로 21 (자양동),서울 광진
112,서울,광진,능동로 261 (군자동),서울 광진
113,서울,광진,군자로 109 (군자동),서울 광진
114,서울,광진,천호대로 663 (구의동),서울 광진
115,서울,광진,광나루로 380 (화양동),서울 광진
116,서울,광진,자양로 46 (자양동),서울 광진
117,서울,광진,자양로 92 (자양동),서울 광진
118,서울,광진,"자양번영로 34 (자양동, 제이원하이텔)",서울 광진
119,서울,광진,용마산로 111 (중곡동),서울 광진
120,서울,광진,능동로 407 (중곡동),서울 광진
121,서울,광진,능동로 330 (중곡동),서울 광진
122,서울,동대문,경희대로 4 (회기동),서울 동대문
123,서울,동대문,"경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",서울 동대문
124,서울,동대문,답십리로 154 (답십리동),서울 동대문
125,서울,동대문,천호대로 265 (답십리동),서울 동대문
126,서울,동대문,"한천로 55 (답십리동, 영진빌딩)",서울 동대문
127,서울,동대문,천호대로 153-1 (용두동),서울 동대문
128,서울,동대문,무학로 104 (용두동),서울 동대문
129,서울,동대문,답십리로63길 131 (장안동),서울 동대문
130,서울,동대문,서울시립대로 164 (전농동),서울 동대문
131,서울,동대문,휘경로 12 (이문동),서울 동대문
132,서울,동대문,왕산로 68 (용두동),서울 동대문
133,서울,동대문,고산자로 413-1 (용두동),서울 동대문
134,서울,동대문,신이문로 19 (이문동),서울 동대문
135,서울,동대문,답십리로 309 (장안동),서울 동대문
136,서울,동대문,장한로 43 (장안동),서울 동대문
137,서울,동대문,사가정로25길 42 (장안동),서울 동대문
138,서울,동대문,답십리로 77 (전농동),서울 동대문
139,서울,동대문,사가정로 132 (전농동),서울 동대문
140,서울,동대문,왕산로 225 (청량리동),서울 동대문
141,서울,동대문,답십리로 264 (장안동),서울 동대문
142,서울,동대문,"망우로 67 (휘경동, 효자 워너빌)",서울 동대문
143,서울,동대문,회기로 194-1 (휘경동),서울 동대문
144,서울,중랑,망우로 460 (망우동),서울 중랑
145,서울,중랑,망우로 416 (망우동),서울 중랑
146,서울,중랑,"용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)",서울 중랑
147,서울,중랑,면목로 370 (면목동),서울 중랑
148,서울,중랑,면목로 417 (면목동),서울 중랑
149,서울,중랑,"동일로 932 (묵동, 묵동자이아파트)",서울 중랑
150,서울,중랑,신내로 211 (신내동),서울 중랑
151,서울,중랑,면목로 325 (면목동),서울 중랑
152,서울,중랑,"망우로 353 (상봉동, 상봉 프레미어스 엠코)",서울 중랑
153,서울,중랑,망우로 288 (상봉동),서울 중랑
154,서울,중랑,망우로 316 (상봉동),서울 중랑
155,서울,중랑,"용마산로 394 (면목동, 해동검도)",서울 중랑
156,서울,중랑,봉화산로 215 (신내동),서울 중랑
157,서울,중랑,면목로 247 (면목동),서울 중랑
158,서울,중랑,봉우재로 240 (망우동),서울 중랑
159,서울,중랑,동일로 683 (면목동),서울 중랑
160,서울,중랑,망우로 198 (상봉동),서울 중랑
161,서울,중랑,"동일로 815, 1층",서울 중랑
162,서울,성북,개운사길 30 (안암동5가),서울 성북
163,서울,성북,인촌로 24 (안암동2가),서울 성북
164,서울,성북,종암로 지하 1 (종암동),서울 성북
165,서울,성북,정릉로9라길 8 (정릉동),서울 성북
166,서울,성북,"길음로 74 (길음동, 길음 에스에이치빌)",서울 성북
167,서울,성북,동소문로 지하 248 (길음동),서울 성북
168,서울,성북,동소문로 119 (동선동4가),서울 성북
169,서울,성북,"아리랑로 75 (돈암동, 돈암코오롱하늘채)",서울 성북
170,서울,성북,돌곶이로22길 3 (석관동),서울 성북
171,서울,성북,화랑로 99,서울 성북
172,서울,성북,동소문로13길 5 (동소문동4가),서울 성북
173,서울,성북,보문로 111 (보문동2가),서울 성북
174,서울,성북,화랑로 지하 157 (상월곡동),서울 성북
175,서울,성북,화랑로40길 61 (석관동),서울 성북
176,서울,성북,보문로 162 (삼선동5가),서울 성북
177,서울,성북,보문로34길 100 (동선동2가),서울 성북
178,서울,성북,오패산로 99 (하월곡동),서울 성북
179,서울,성북,"종암로 167 (하월곡동, 동일하이빌뉴시티)",서울 성북
180,서울,성북,월계로40길 7 (장위동),서울 성북
181,서울,성북,장위로 35 (장위동),서울 성북
182,서울,성북,"정릉로 307 (정릉동, 라온유 아파트)",서울 성북
183,서울,성북,"북악산로 851 (정릉동, 정릉2차 e-편한세상)",서울 성북
184,서울,성북,보국문로 77 (정릉동),서울 성북
185,서울,성북,정릉로 251 (정릉동),서울 성북
186,서울,성북,종암로 105 (종암동),서울 성북
187,서울,성북,오패산로 16 (하월곡동),서울 성북
188,서울,성북,동소문로 19 (동소문동1가),서울 성북
189,서울,성북,삼선교로 10 (삼선동1가),서울 성북
190,서울,강북,삼양로 501 (수유동),서울 강북
191,서울,강북,한천로 1083 (수유동),서울 강북
192,서울,강북,도봉로10길 28 (미아동),서울 강북
193,서울,강북,도봉로 41-1 (미아동),서울 강북
194,서울,강북,삼양로 118 (미아동),서울 강북
195,서울,강북,도봉로 207 (미아동),서울 강북
196,서울,강북,도봉로 128 (미아동),서울 강북
197,서울,강북,"오현로 194 (번동, 덕수빌딩)",서울 강북
198,서울,강북,4.19로 85 (수유동),서울 강북
199,서울,강북,솔샘로40길 3 (미아동),서울 강북
200,서울,강북,솔샘로 257 (미아동),서울 강북
201,서울,강북,삼양로 234 (미아동),서울 강북
202,서울,강북,삼양로 293 (수유동),서울 강북
203,서울,강북,"덕릉로 82 (수유동, 제네스타워)",서울 강북
204,서울,강북,도봉로 355 (수유동),서울 강북
205,서울,강북,도봉로 381 (수유동),서울 강북
206,서울,강북,삼양로 425 (수유동),서울 강북
207,서울,강북,삼양로173길 21 (우이동),서울 강북
208,서울,강북,덕릉로 31 (수유동),서울 강북
209,서울,도봉,삼양로 542 (쌍문동),서울 도봉
210,서울,도봉,"도봉로150길 43 (방학동, ESA 아파트)",서울 도봉
211,서울,도봉,해등로 157 (쌍문동),서울 도봉
212,서울,도봉,"도봉로 964-40 (도봉동, 도봉산역7호선)",서울 도봉
213,서울,도봉,도봉로 823 (도봉동),서울 도봉
214,서울,도봉,도봉로181길 18 (도봉동),서울 도봉
215,서울,도봉,도봉로 677 (방학동),서울 도봉
216,서울,도봉,도봉로153길 15 (방학동),서울 도봉
217,서울,도봉,방학로 171 (방학동),서울 도봉
218,서울,도봉,도당로13길 22 (방학동),서울 도봉
219,서울,도봉,"해등로 255 (쌍문동, 에벤에셀아파트)",서울 도봉
220,서울,도봉,덕릉로 235 (창동),서울 도봉
221,서울,도봉,노해로 162 (쌍문동),서울 도봉
222,서울,도봉,도봉로117길 4 (쌍문동),서울 도봉
223,서울,도봉,도봉로 519 (쌍문동),서울 도봉
224,서울,도봉,마들로11길 65 (창동),서울 도봉
225,서울,도봉,노해로63길 78 (창동),서울 도봉
226,서울,도봉,해등로16길 61 (창동),서울 도봉
227,서울,도봉,도봉로114길 22 (창동),서울 도봉
228,서울,노원,동일로192길 5 (공릉동),서울 노원
229,서울,노원,공릉로 146 (공릉동),서울 노원
230,서울,노원,광운로 29 (월계동),서울 노원
231,서울,노원,노해로 494 (상계동),서울 노원
232,서울,노원,동일로 1393 (상계동),서울 노원
233,서울,노원,상계로 64 (상계동),서울 노원
234,서울,노원,노원로 452 (상계동),서울 노원
235,서울,노원,상계로 313 (상계동),서울 노원
236,서울,노원,동일로 1541 (상계동),서울 노원
237,서울,노원,한글비석로52길 8 (상계동),서울 노원
238,서울,노원,동일로 1354 (상계동),서울 노원
239,서울,노원,한글비석로 409 (상계동) 1~2층,서울 노원
240,서울,노원,덕릉로 698 (중계동),서울 노원
241,서울,노원,동일로 1650 (상계동),서울 노원
242,서울,노원,공릉로 208 (공릉동),서울 노원
243,서울,노원,노원로 3 (공릉동),서울 노원
244,서울,노원,"화랑로 지하 347-1, 석계역내",서울 노원
245,서울,노원,석계로3길 3 (월계동),서울 노원
246,서울,노원,"한글비석로 57 (하계동, 세이브존)",서울 노원
247,서울,노원,"동일로 1689 (상계동, 하이베라스)",서울 노원
248,서울,노원,공릉로46길 6 (공릉동),서울 노원
249,서울,노원,광운로22길 39 (월계동),서울 노원
250,서울,노원,월계동,서울 노원
251,서울,노원,중계로 201 (중계동),서울 노원
252,서울,노원,노원로22길 70 (중계동),서울 노원
253,서울,노원,중계로14바길 2 (중계동),서울 노원
254,서울,노원,"동일로203가길 29 (중계동, 브라운스톤중계)",서울 노원
255,서울,노원,동일로 1280 (중계동),서울 노원
256,서울,노원,동일로204가길 34 (중계동),서울 노원
257,서울,노원,덕릉로73길 18 (중계동),서울 노원
258,서울,노원,화랑로 453 (공릉동),서울 노원
259,서울,노원,노원로 257 (하계동),서울 노원
260,서울,노원,공릉로 326 (하계동),서울 노원
261,서울,노원,화랑로 지하 510 (공릉동),서울 노원
262,서울,은평,갈현로 268 (갈현동),서울 은평
263,서울,은평,서오릉로 195 (구산동),서울 은평
264,서울,은평,연서로 148 (대조동),서울 은평
265,서울,은평,"진관2로 29-21 (진관동, 드림스퀘어)",서울 은평
266,서울,은평,"진흥로 156 (녹번동, 신명빌딩)",서울 은평
267,서울,은평,"불광로 128 (불광동, 배진하우스)",서울 은평
268,서울,은평,증산동,서울 은평
269,서울,은평,"응암로 264 (응암동, 서울빌딩)",서울 은평
270,서울,은평,"통일로 지하 723-1 (대조동, 3,6호선 불광역사무소)",서울 은평
271,서울,은평,연서로 275 (불광동),서울 은평
272,서울,은평,불광로 59 (불광동),서울 은평
273,서울,은평,수색로 250 (수색동),서울 은평
274,서울,은평,"갈현로 1 (신사동, 하나은행)",서울 은평
275,서울,은평,갈현로 82 (역촌동),서울 은평
276,서울,은평,서오릉로 100 (대조동),서울 은평
277,서울,은평,통일로 855-4 (갈현동),서울 은평
278,서울,은평,통일로 825 (대조동),서울 은평
279,서울,은평,통일로 876 (불광동),서울 은평
280,서울,은평,은평로 197 (녹번동),서울 은평
281,서울,은평,"진관3로 70 (진관동, 은평뉴타운상림마을)",서울 은평
282,서울,은평,"은평로 111 (응암동, 은평이마트)",서울 은평
283,서울,은평,응암로 211 (응암동),서울 은평
284,서울,은평,응암로 183 (응암동),서울 은평
285,서울,서대문,"수색로 100 (북가좌동, DMC래미안e편한세상)",서울 서대문
286,서울,서대문,"가재울미래로 2 (남가좌동, DMC파크뷰자이)",서울 서대문
287,서울,서대문,수색로 32 (남가좌동),서울 서대문
288,서울,서대문,영천동,서울 서대문
289,서울,서대문,신촌로 5 (창천동),서울 서대문
290,서울,서대문,거북골로 35 (남가좌동),서울 서대문
291,서울,서대문,가좌로 140 (홍은동),서울 서대문
292,서울,서대문,홍제동,서울 서대문
293,서울,서대문,증가로 257 (북가좌동),서울 서대문
294,서울,서대문,냉천동,서울 서대문
295,서울,서대문,신촌역로 35 (창천동),서울 서대문
296,서울,서대문,신촌로 87-20 (창천동),서울 서대문
297,서울,서대문,연희로 42 (연희동),서울 서대문
298,서울,서대문,연희로10길 86 (연희동),서울 서대문
299,서울,서대문,연세로12길 10 (창천동),서울 서대문
300,서울,서대문,연희로 117 (연희동),서울 서대문
301,서울,서대문,"통일로 510 (홍은동, 북한산 더샵)",서울 서대문
302,서울,서대문,홍은동,서울 서대문
303,서울,서대문,홍제동,서울 서대문
304,서울,마포,마포대로8길 15 (공덕동),서울 마포
305,서울,마포,"창전로 45 (창전동, 서강한화오벨리스크)",서울 마포
306,서울,마포,백범로 100 (대흥동),서울 마포
307,서울,마포,동교로27길 8 (동교동),서울 마포
308,서울,마포,마포대로 173 (공덕동),서울 마포
309,서울,마포,새창로 6 (도화동),서울 마포
310,서울,마포,월드컵로 196 (성산동),서울 마포
311,서울,마포,독막로 320 (도화동),서울 마포
312,서울,마포,도화길 10 (도화동),서울 마포
313,서울,마포,월드컵로 82-1 (서교동),서울 마포
314,서울,마포,월드컵로 147 (망원동),서울 마포
315,서울,마포,와우산로 41-1 (상수동),서울 마포
316,서울,마포,월드컵북로 396 (상암동),서울 마포
317,서울,마포,월드컵북로 375 (상암동),서울 마포
