,ID,전국대비인구비율,지역별도시인구비율
0,서울 종로,0.002953436995855695,100.0
1,서울 중구,0.0024259031542413828,100.0
2,서울 용산,0.004418607249299045,100.0
3,서울 성동,0.005947220489985549,100.0
4,서울 광진,0.006860621989412701,100.0
5,서울 동대문,0.006715772079061617,100.0
6,서울 중랑,0.00778004362631548,100.0
7,서울 성북,0.008410209234701793,100.0
8,서울 강북,0.006158369093818228,100.0
9,서울 도봉,0.00654907987504896,100.0
10,서울 노원,0.010491864720024342,100.0
11,서울 은평,0.009323437076317147,100.0
12,서울 서대문,0.0059875862835721315,100.0
13,서울 마포,0.007237227897263035,100.0
14,서울 양천,0.008956594596552287,100.0
15,서울 강서,0.011518317454931312,100.0
16,서울 구로,0.007804895988714866,100.0
17,서울 금천,0.004513501595789871,100.0
18,서울 영등포,0.007096391411895703,100.0
19,서울 동작,0.007644860667487759,100.0
20,서울 관악,0.009685417137351694,100.0
21,서울 서초,0.008373220120789041,100.0
22,서울 강남,0.010465082826382767,100.0
23,서울 송파,0.01286293059636273,100.0
24,서울 강동,0.008250154618162265,100.0
25,부산 중구,0.0008257428950945314,100.0
26,부산 서구,0.002132788063240541,100.0
27,부산 동구,0.0016769941932107937,100.0
28,부산 영도,0.002317540679680081,100.0
29,부산 부산진,0.006991791523256669,100.0
30,부산 동래,0.00514249019011845,100.0
31,부산 남구,0.005401085967196541,100.0
32,부산 북구,0.005729781614303337,100.0
33,부산 해운대,0.007898478253961004,100.0
34,부산 사하,0.006324829754081822,100.0
35,부산 금정,0.004687911924771282,100.0
36,부산 강서,0.0023724937294576074,100.0
37,부산 연제,0.004010337733764398,100.0
38,부산 수영,0.003400721633107391,100.0
39,부산 사상,0.004309820277864462,100.0
40,부산 기장,0.0031811023871215057,100.0
41,대구 중구,0.001532067101610022,100.0
42,대구 동구,0.006778269595996099,98.58
43,대구 서구,0.0035575153418476216,100.0
44,대구 남구,0.002903963814805984,100.0
45,대구 북구,0.008480077560981436,100.0
46,대구 수성,0.008350220108382156,100.0
47,대구 달서,0.011064182981769847,100.0
48,대구 달성,0.004834305460116117,99.98
49,인천 중구,0.0023636564763683844,100.0
50,인천 동구,0.0012779864276386518,100.0
51,인천 미추,0.00803730802683646,100.0
52,인천 연수,0.006683105115131367,100.0
53,인천 남동,0.010364689315851702,100.0
54,인천 부평,0.010123092709017291,100.0
55,인천 계양,0.006033258288074731,100.0
56,인천 서구,0.010392378089177107,100.0
57,인천 강화,0.0013293698446181293,33.57
58,인천 옹진,0.00040589619210675465,0.0
59,광주 동구,0.0018229246410575036,100.0
60,광주 서구,0.005869093769989341,100.0
61,광주 남구,0.004174907453410648,100.0
62,광주 북구,0.00848555742970925,100.0
63,광주 광산,0.00780586075433596,100.0
64,대전 동구,0.00441999651179342,99.62
65,대전 중구,0.0047161795574693416,99.92
66,대전 서구,0.009351724004327629,99.13
67,대전 유성,0.006749307332050851,100.0
68,대전 대덕,0.003511573202971115,100.0
69,울산 중구,0.004475991508441728,100.0
70,울산 남구,0.006381577267914583,100.0
71,울산 동구,0.0031768188277638476,100.0
72,울산 북구,0.003983208524499229,100.0
73,울산 울주,0.00428051069829562,99.04
74,세종,0.006061159309836775,88.86
75,수원,0.023176873240544876,100.0
76,성남,0.018414423523887856,100.0
77,고양,0.020147952982494773,94.4
78,용인,0.019973079566015236,97.0
79,부천,0.016280767171588332,100.0
80,안산,0.012741524490604235,100.0
81,안양,0.011130134359627846,100.0
82,남양주,0.013156084277988415,88.52
83,화성,0.014639778031356774,81.78
84,평택,0.009563567239407496,93.5
