ID,이디야_빈도
가평,6
강릉,12
강진,1
거제,7
거창,1
경산,7
경주,22
고령,1
고성(강원),1
고성(경남),1
고양,57
고창,1
고흥,2
곡성,1
공주,4
과천,2
광명,10
광양,6
광주,10
광주 광산,18
광주 남구,5
광주 동구,4
광주 북구,11
광주 서구,14
괴산,1
구리,15
구미,11
군산,11
군위,1
군포,9
금산,1
김제,4
김천,3
김포,19
김해,31
나주,1
남양주,39
남원,2
남해,1
논산,3
단양,1
담양,1
당진,5
대구 남구,4
대구 달서,9
대구 달성,7
대구 동구,7
대구 북구,8
대구 수성,8
대구 중구,9
대전 대덕,2
대전 동구,1
대전 서구,13
대전 유성,11
대전 중구,3
동두천,2
동해,3
목포,11
무안,2
무주,1
문경,2
밀양,3
보령,2
보은,1
봉화,1
부산 강서,9
부산 금정,16
부산 기장,9
부산 남구,13
부산 동구,8
부산 동래,22
부산 부산진,26
부산 북구,13
부산 사상,14
부산 사하,16
부산 서구,9
부산 수영,11
부산 연제,16
부산 영도,3
부산 중구,9
부산 해운대,20
부안,3
부여,1
부천,48
사천,4
산청,1
삼척,2
상주,2
서귀포,7
서산,9
서울 강남,41
서울 강동,24
서울 강북,19
서울 강서,43
서울 관악,29
서울 광진,24
서울 구로,30
서울 금천,21
서울 노원,34
서울 도봉,19
서울 동대문,22
서울 동작,20
서울 마포,34
서울 서대문,19
서울 서초,28
서울 성동,24
서울 성북,28
서울 송파,42
서울 양천,23
서울 영등포,34
서울 용산,13
서울 은평,23
서울 종로,31
서울 중구,30
서울 중랑,18
서천,2
성남,51
성주,1
세종,14
속초,7
수원,58
순창,1
순천,14
시흥,26
아산,9
안동,6
안산,34
안성,4
안양,28
양구,1
양산,16
양양,1
양주,17
양평,5
여수,11
여주,3
연천,1
영광,1
영덕,2
영동,1
영암,1
영월,1
영주,4
영천,2
예산,3
예천,2
오산,7
옥천,1
완도,1
완주,5
용인,52
울산 남구,27
울산 동구,8
울산 북구,18
울산 울주,11
울산 중구,15
울진,2
원주,17
음성,4
의왕,6
의정부,34
이천,10
익산,11
인제,2
인천 강화,1
인천 계양,20
인천 남동,32
인천 동구,2
인천 미추,1
인천 부평,34
인천 서구,34
인천 연수,19
인천 옹진,1
인천 중구,16
임실,1
장성,1
장수,1
장흥,1
전주,46
정선,1
정읍,4
제주,9
제천,6
증평,2
진도,1
진안,1
진주,21
진천,3
창녕,2
창원,41
천안,21
철원,3
청도,2
청송,1
청주,40
춘천,26
충주,6
칠곡,3
태안,2
통영,3
파주,19
평창,2
평택,15
포천,9
포항,16
하남,19
함안,1
함양,1
합천,2
해남,1
홍성,2
홍천,3
화성,35
화순,1
화천,2
