,시도,군구,커피빈_나머지데이터,ID
0,서울,서초,반포대로70,서울 서초
1,서울,서초,서초중앙로 156,서울 서초
2,서울,중구,장충동2가 188-11,서울 중구
3,서울,송파,올림픽로35길 123 1층,서울 송파
4,서울,종로,우정국로 26 센트로폴리스 1층 Retail 1-5,서울 종로
5,서울,마포,와우산로10길 3,서울 마포
6,서울,종로,종로3길 34,서울 종로
7,서울,동대문,경희대로 10 (회기동),서울 동대문
8,서울,송파,법원로6길 11 환인빌딩 1층,서울 송파
9,서울,종로,새문안로 91 고려빌딩 1,서울 종로
10,서울,강남,선릉로 433 세방빌딩 1층,서울 강남
11,서울,용산,한강대로95,서울 용산
12,서울,영등포,국제금융로10 IFC Mall L2(2층),서울 영등포
13,서울,송파,방이동 206-11,서울 송파
14,서울,강서,마곡동로 55 마커스빌딩 1층,서울 강서
15,서울,강서,강서로 457(마곡동),서울 강서
16,서울,은평,은평로 121(응암동),서울 은평
17,서울,마포,양화로 196(동교동),서울 마포
18,서울,강남,강남대로112길 20 1층,서울 강남
19,서울,강남,도곡로 408 디마크빌딩 1층,서울 강남
20,서울,성북,삼선교로 12 1층,서울 성북
21,서울,종로,대학로 128 2층,서울 종로
22,서울,송파,위례광장로 230 위례2차 아이파크 B동 1층,서울 송파
23,서울,서초,강남대로 475 2층,서울 서초
24,서울,마포,월드컵로 3길 14,서울 마포
25,서울,송파,충민로 66 가든파이브 라이프동 테크노관 1층,서울 송파
26,서울,영등포,국제금융로8길31 여의도SK증권빌딩점 1층,서울 영등포
27,서울,광진,구의강변로 106 삼성쉐르빌 1층,서울 광진
28,서울,강북,한천로 139길 25,서울 강북
29,서울,강남,도곡동 543-1,서울 강남
30,서울,송파,방이동 44-2,서울 송파
31,서울,종로,종로 70 2층,서울 종로
32,서울,마포,독막로 13,서울 마포
33,서울,노원,노해로 490,서울 노원
34,서울,강동,동남로 885 양지빌딩 1층,서울 강동
35,서울,중랑,망우로 291 1층,서울 중랑
36,서울,송파,문정동 643-1번지 엠스테이트 B동 지하1층,서울 송파
37,서울,송파,송파대로 111 송파파크하비오 205동 1층 110-113,서울 송파
38,서울,서초,서초대로 397 부띠크모나코 1층,서울 서초
39,서울,강남,테헤란로 111 2층,서울 강남
40,서울,송파,송파대로 111,서울 송파
41,서울,마포,양화로18안길 7 2층,서울 마포
42,서울,강동,올림픽로 659 쌍용플래티넘리버 1층,서울 강동
43,서울,서초,신반포로47길 5 건물전체 1~3층,서울 서초
44,서울,강남,역삼동 718-20 태광타워 1층,서울 강남
45,서울,영등포,문래동6가 5번지 1층,서울 영등포
46,서울,서초,동산로 1 1층,서울 서초
47,서울,강남,삼성로 352 창진빌딩 1층 및 2층,서울 강남
