,ID,빽다방,이디야,스벅,커피빈,전국대비인구비율,도시인구비율,지수_pk,지수_ed,지수_sb,지수_cb,지수_국내해외,지수_최저가,지수_최고가,지수_고가,지수_해외국내
0,강릉,2.0,12.0,3.0,0.0,0.0041090718474271785,87.14,0.003389830508474576,0.004741209008297116,0.0022935779816513763,0.0,3.545133229312458,0.4818668302704921,0.0,0.2820768460072627,0.2820768460072627
1,거제,2.0,7.0,4.0,0.0,0.004833784486680726,77.12,0.003389830508474576,0.002765705254839984,0.0030581039755351682,0.0,2.0128601946038613,0.5820641395316126,0.0,0.49680549234409394,0.49680549234409394
2,거창,2.0,1.0,0.0,0.0,0.0012050887373087735,65.47,0.003389830508474576,0.0003951007506914263,0.0,0.0,inf,8.579661016949153,0.0,0.0,0.0
3,경산,3.0,7.0,6.0,0.0,0.005037871006166993,88.59,0.005084745762711864,0.002765705254839984,0.0045871559633027525,0.0,1.711398321826303,0.6915329436880385,0.0,0.5843175064778954,0.5843175064778954
4,경주,2.0,22.0,7.0,1.0,0.004956271129934846,84.34,0.003389830508474576,0.00869221651521138,0.005351681957186544,0.006535947712418301,1.0163545937655016,0.16471602741985444,0.37490245027837976,0.28744674348889426,0.9839085749542299
5,고성(경남),2.0,1.0,0.0,0.0,0.001027340319278377,51.67,0.003389830508474576,0.0003951007506914263,0.0,0.0,inf,8.579661016949153,0.0,0.0,0.0
6,고양,11.0,57.0,32.0,7.0,0.020147952982494773,94.4,0.01864406779661017,0.0225207427894113,0.024464831804281346,0.0457516339869281,0.5862558037088643,0.20104193432134654,0.6971184410062881,0.2814752941688479,1.705740043294483
7,공주,1.0,4.0,2.0,0.0,0.002075809005658717,70.08,0.001694915254237288,0.0015804030027657052,0.0015290519877675841,0.0,2.1420581400799574,0.5450843506008107,0.0,0.4668407366210296,0.4668407366210296
8,광명,2.0,10.0,8.0,1.0,0.006306499207281032,100.0,0.003389830508474576,0.0039510075069142635,0.0061162079510703364,0.006535947712418301,0.5802045288276763,0.2041677524748627,0.48568963268080756,0.4407510551102847,1.7235301524111426
9,광양,1.0,6.0,1.0,0.0,0.0030209512940198675,90.0,0.001694915254237288,0.002370604504148558,0.0007645259938837921,0.0,5.317699843968687,0.5406203203665811,0.0,0.18805123067150845,0.18805123067150845
