,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
0,서울특별시,서초구,빽다방커피,-,127.0154469,37.49346116,서울특별시 서초구 서초중앙로22길 25,서울 서초,1,빽다방
1,서울특별시,동대문구,빽다방외대역점,외대역점,127.0621597,37.59577708,서울특별시 동대문구 휘경로 17,서울 동대문,1,빽다방
2,서울특별시,광진구,빽다방,어린이대공원역점,127.0723089,37.54809278,서울특별시 광진구 광나루로 381-1,서울 광진,1,빽다방
3,서울특별시,송파구,빽다방,오금역점,127.1261052,37.50287363,서울특별시 송파구 오금로 306,서울 송파,1,빽다방
4,서울특별시,광진구,빽다방,건대역화양점,127.0686017,37.54225182,서울특별시 광진구 아차산로29길 29-1,서울 광진,1,빽다방
5,서울특별시,중구,빽다방,명동중앙우체국점,126.9818508,37.56242189,서울특별시 중구 남대문로 58-1,서울 중구,1,빽다방
6,서울특별시,강동구,빽다방둔촌동역점,둔촌동역점,127.1349888,37.52594307,서울특별시 강동구 양재대로 1339,서울 강동,1,빽다방
7,서울특별시,강동구,빽다방명일역점,명일역점,127.1450151,37.5505068,서울특별시 강동구 구천면로 418,서울 강동,1,빽다방
8,서울특별시,구로구,빽다방,구로로제리움점,126.8909805,37.49607959,서울특별시 구로구 가마산로26길 5,서울 구로,1,빽다방
9,서울특별시,강남구,백다방,-,127.0504838,37.50305588,서울특별시 강남구 선릉로86길 8,서울 강남,1,빽다방
10,부산광역시,중구,빽다방,부산중앙사거리점,129.0353133,35.1050987,부산광역시 중구 중앙대로81번길 8,부산 중구,1,빽다방
11,서울특별시,강서구,빽다방,우장산역점,126.8359891,37.54755838,서울특별시 강서구 강서로 245,서울 강서,1,빽다방
12,서울특별시,양천구,빽다방,목동파리공원점,126.8787105,37.53614119,서울특별시 양천구 목동서로 65,서울 양천,1,빽다방
